date,city,Cesium_134_Plus_Cesium_137
2011-08-29,Fukushima city,21
2011-09-02,Fukushima city,41
2011-09-16,Fukushima city,140
2011-09-16,Fukushima city,37
2011-09-16,Fukushima city,NA
2011-09-24,Fukushima city,46
2011-09-24,Fukushima city,53
2011-09-24,Fukushima city,29
2011-09-24,Fukushima city,16
2011-09-24,Fukushima city,14
2011-09-24,Fukushima city,19
2011-09-24,Fukushima city,11
2011-09-24,Fukushima city,65
2011-09-24,Fukushima city,10
2011-09-24,Fukushima city,19
2011-09-24,Fukushima city,20
2011-09-24,Fukushima city,9.8
2011-09-24,Fukushima city,7.7
2011-09-24,Fukushima city,8.2
2011-09-24,Fukushima city,12
2011-09-24,Fukushima city,NA
2011-09-29,Fukushima city,15
2011-09-29,Fukushima city,22
2011-09-29,Fukushima city,9.3
2011-09-29,Fukushima city,120
2011-09-29,Fukushima city,NA
2011-10-01,Fukushima city,16
2011-10-01,Fukushima city,19
2011-10-01,Fukushima city,36
2011-10-01,Fukushima city,11
2011-10-01,Fukushima city,7.6
2011-10-01,Fukushima city,100
2011-10-01,Fukushima city,82
2011-10-01,Fukushima city,NA
2011-10-05,Fukushima city,21
2011-10-05,Fukushima city,12
2011-10-05,Fukushima city,33
2011-10-05,Fukushima city,28
2011-10-05,Fukushima city,8.3
2011-10-05,Fukushima city,11
2011-10-05,Fukushima city,11
2011-10-05,Fukushima city,28
2011-10-05,Fukushima city,NA
2011-10-07,Fukushima city,22
2011-10-07,Fukushima city,41
2011-10-07,Fukushima city,26
2011-10-07,Fukushima city,18
2011-10-07,Fukushima city,27
2011-10-07,Fukushima city,15
2011-10-07,Fukushima city,22
2011-10-07,Fukushima city,8.4
2011-10-07,Fukushima city,11
2011-10-07,Fukushima city,21
2011-10-07,Fukushima city,11
2011-10-07,Fukushima city,14
2011-10-07,Fukushima city,140
2011-10-07,Fukushima city,24
2011-10-07,Fukushima city,74
2011-10-07,Fukushima city,88
2011-10-07,Fukushima city,NA
2011-11-16,Fukushima city,630
2011-09-14,Aizuwakamatsu city,NA
2011-09-21,Aizuwakamatsu city,NA
2011-09-23,Aizuwakamatsu city,NA
2011-09-27,Aizuwakamatsu city,NA
2011-09-28,Aizuwakamatsu city,NA
2011-08-26,Koriyama city,NA
2011-09-02,Koriyama city,NA
2011-09-05,Koriyama city,24
2011-09-05,Koriyama city,NA
2011-09-07,Koriyama city,NA
2011-09-19,Koriyama city,19
2011-09-19,Koriyama city,14
2011-09-19,Koriyama city,9.3
2011-09-19,Koriyama city,NA
2011-09-24,Koriyama city,27
2011-09-24,Koriyama city,NA
2011-09-24,Koriyama city,9.9
2011-09-24,Koriyama city,23
2011-09-24,Koriyama city,28
2011-09-24,Koriyama city,26
2011-09-24,Koriyama city,9.1
2011-09-24,Koriyama city,8.4
2011-09-24,Koriyama city,NA
2011-09-05,Iwaki city,NA
2011-09-16,Iwaki city,31
2011-09-16,Iwaki city,38
2011-09-16,Iwaki city,120
2011-09-16,Iwaki city,11
2011-09-16,Iwaki city,12
2011-09-16,Iwaki city,13
2011-09-16,Iwaki city,12
2011-09-16,Iwaki city,11
2011-09-16,Iwaki city,NA
2011-09-29,Iwaki city,7.8
2011-09-29,Iwaki city,NA
2011-09-29,Iwaki city,9.1
2011-09-29,Iwaki city,8.8
2011-09-29,Iwaki city,27
2011-09-29,Iwaki city,8.1
2011-09-29,Iwaki city,14
2011-09-29,Iwaki city,9.3
2011-09-29,Iwaki city,22
2011-09-29,Iwaki city,33
2011-09-29,Iwaki city,37
2011-09-29,Iwaki city,14
2011-09-29,Iwaki city,25
2011-09-29,Iwaki city,8.5
2011-09-29,Iwaki city,42
2011-09-29,Iwaki city,NA
2011-10-01,Iwaki city,8.1
2011-10-01,Iwaki city,8.8
2011-10-01,Iwaki city,30
2011-10-01,Iwaki city,47
2011-10-01,Iwaki city,50
2011-10-01,Iwaki city,45
2011-10-01,Iwaki city,42
2011-10-01,Iwaki city,23
2011-10-01,Iwaki city,41
2011-10-01,Iwaki city,9.4
2011-10-01,Iwaki city,NA
2011-10-04,Iwaki city,45
2011-10-04,Iwaki city,NA
2011-10-06,Iwaki city,9.1
2011-10-06,Iwaki city,22
2011-10-06,Iwaki city,23
2011-10-06,Iwaki city,NA
2011-09-09,Shirakawa city,NA
2011-09-10,Shirakawa city,12
2011-09-10,Shirakawa city,NA
2011-09-23,Shirakawa city,23
2011-09-23,Shirakawa city,NA
2011-09-26,Shirakawa city,27
2011-09-26,Shirakawa city,NA
2011-09-15,Sukagawa city,47
2011-09-15,Sukagawa city,27
2011-09-15,Sukagawa city,8.9
2011-09-15,Sukagawa city,NA
2011-09-28,Sukagawa city,24
2011-09-28,Sukagawa city,42
2011-09-28,Sukagawa city,NA
2011-09-30,Sukagawa city,23
2011-09-30,Sukagawa city,NA
2011-10-01,Sukagawa city,NA
2011-10-03,Sukagawa city,NA
2011-10-04,Sukagawa city,30
2011-10-04,Sukagawa city,19
2011-10-04,Sukagawa city,15
2011-10-04,Sukagawa city,25
2011-10-04,Sukagawa city,NA
2011-09-02,Kitakata city,NA
2011-09-07,Kitakata city,NA
2011-09-09,Kitakata city,NA
2011-09-16,Kitakata city,NA
2011-09-17,Kitakata city,NA
2011-09-19,Kitakata city,NA
2011-09-20,Kitakata city,NA
2011-09-21,Kitakata city,NA
2011-09-22,Kitakata city,NA
2011-09-10,Soma city,12
2011-09-10,Soma city,27
2011-09-10,Soma city,32
2011-09-10,Soma city,67
2011-09-10,Soma city,NA
2011-09-27,Soma city,41
2011-09-27,Soma city,65
2011-09-27,Soma city,150
2011-09-27,Soma city,44
2011-09-27,Soma city,NA
2011-09-28,Soma city,13
2011-09-28,Soma city,9.6
2011-09-28,Soma city,12
2011-09-28,Soma city,18
2011-09-28,Soma city,12
2011-09-28,Soma city,42
2011-09-28,Soma city,100
2011-09-28,Soma city,24
2011-09-28,Soma city,48
2011-09-28,Soma city,22
2011-09-28,Soma city,13
2011-09-28,Soma city,7.6
2011-09-28,Soma city,23
2011-09-28,Soma city,10
2011-09-28,Soma city,52
2011-09-28,Soma city,NA
2011-08-26,Nihommatsu city,22
2011-08-29,Nihommatsu city,11
2011-08-29,Nihommatsu city,11
2011-08-31,Nihommatsu city,NA
2011-09-09,Nihommatsu city,36
2011-09-09,Nihommatsu city,37
2011-09-15,Nihommatsu city,61
2011-09-15,Nihommatsu city,9.8
2011-09-15,Nihommatsu city,16
2011-09-15,Nihommatsu city,14
2011-09-15,Nihommatsu city,57
2011-09-15,Nihommatsu city,NA
2011-09-23,Nihommatsu city,500
2011-09-23,Nihommatsu city,35
2011-09-23,Nihommatsu city,29
2011-09-23,Nihommatsu city,25
2011-09-23,Nihommatsu city,NA
2011-09-24,Nihommatsu city,18
2011-09-24,Nihommatsu city,85
2011-09-24,Nihommatsu city,NA
2011-10-06,Nihommatsu city,NA
2011-10-08,Nihommatsu city,22
2011-10-08,Nihommatsu city,25
2011-10-08,Nihommatsu city,27
2011-10-08,Nihommatsu city,9.3
2011-10-08,Nihommatsu city,34
2011-10-08,Nihommatsu city,34
2011-10-08,Nihommatsu city,28
2011-10-08,Nihommatsu city,14
2011-10-08,Nihommatsu city,10
2011-10-08,Nihommatsu city,23
2011-10-08,Nihommatsu city,20
2011-10-08,Nihommatsu city,8.6
2011-10-08,Nihommatsu city,42
2011-10-08,Nihommatsu city,16
2011-10-08,Nihommatsu city,9.8
2011-10-08,Nihommatsu city,NA
2011-10-10,Nihommatsu city,15
2011-10-10,Nihommatsu city,42
2011-10-10,Nihommatsu city,33
2011-10-10,Nihommatsu city,38
2011-10-10,Nihommatsu city,12
2011-10-10,Nihommatsu city,27
2011-10-10,Nihommatsu city,42
2011-10-10,Nihommatsu city,46
2011-10-10,Nihommatsu city,66
2011-10-10,Nihommatsu city,18
2011-10-10,Nihommatsu city,12
2011-10-10,Nihommatsu city,23
2011-10-10,Nihommatsu city,7.3
2011-10-10,Nihommatsu city,8
2011-10-10,Nihommatsu city,24
2011-10-10,Nihommatsu city,11
2011-10-10,Nihommatsu city,NA
2011-10-11,Nihommatsu city,39
2011-10-11,Nihommatsu city,10
2011-10-11,Nihommatsu city,17
2011-10-11,Nihommatsu city,25
2011-10-11,Nihommatsu city,34
2011-10-11,Nihommatsu city,7.3
2011-10-11,Nihommatsu city,11
2011-10-11,Nihommatsu city,10
2011-10-11,Nihommatsu city,9.9
2011-10-11,Nihommatsu city,12
2011-10-11,Nihommatsu city,11
2011-10-11,Nihommatsu city,40
2011-10-11,Nihommatsu city,40
2011-10-11,Nihommatsu city,24
2011-10-11,Nihommatsu city,8.8
2011-10-11,Nihommatsu city,90
2011-10-11,Nihommatsu city,10
2011-10-11,Nihommatsu city,18
2011-10-11,Nihommatsu city,9.5
2011-10-11,Nihommatsu city,11
2011-10-11,Nihommatsu city,21
2011-10-11,Nihommatsu city,8.7
2011-10-11,Nihommatsu city,33
2011-10-11,Nihommatsu city,11
2011-10-11,Nihommatsu city,47
2011-10-11,Nihommatsu city,NA
2011-10-12,Nihommatsu city,39
2011-10-12,Nihommatsu city,34
2011-10-12,Nihommatsu city,10
2011-10-12,Nihommatsu city,14
2011-10-12,Nihommatsu city,470
2011-10-12,Nihommatsu city,37
2011-10-12,Nihommatsu city,34
2011-10-12,Nihommatsu city,110
2011-10-12,Nihommatsu city,6.3
2011-10-12,Nihommatsu city,NA
2011-09-17,Tamura city,8.2
2011-09-17,Tamura city,38
2011-09-17,Tamura city,14
2011-09-17,Tamura city,NA
2011-09-30,Tamura city,25
2011-09-30,Tamura city,NA
2011-10-03,Tamura city,NA
2011-10-04,Tamura city,NA
2011-10-05,Tamura city,NA
2011-10-06,Tamura city,NA
2011-10-07,Tamura city,NA
2011-10-08,Tamura city,24
2011-10-08,Tamura city,NA
2011-10-10,Tamura city,37
2011-10-10,Tamura city,23
2011-10-10,Tamura city,NA
2011-09-10,Date city,60
2011-09-17,Date city,48
2011-09-17,Date city,8.5
2011-09-17,Date city,44
2011-09-17,Date city,NA
2011-09-24,Date city,23
2011-09-24,Date city,9.5
2011-09-24,Date city,13
2011-09-24,Date city,160
2011-09-24,Date city,19
2011-09-24,Date city,12
2011-09-24,Date city,NA
2011-09-28,Date city,25
2011-09-28,Date city,80
2011-09-28,Date city,NA
2011-09-30,Date city,54
2011-09-30,Date city,NA
2011-10-03,Date city,47
2011-10-03,Date city,31
2011-10-04,Date city,160
2011-10-04,Date city,NA
2011-10-05,Date city,61
2011-10-05,Date city,38
2011-10-05,Date city,9.6
2011-10-05,Date city,8.3
2011-10-05,Date city,25
2011-10-05,Date city,9.7
2011-10-05,Date city,12
2011-10-05,Date city,NA
2011-10-06,Date city,27
2011-10-06,Date city,62
2011-10-06,Date city,11
2011-10-06,Date city,11
2011-10-07,Date city,11
2011-10-07,Date city,35
2011-10-07,Date city,47
2011-10-07,Date city,160
2011-10-07,Date city,NA
2011-08-26,Motomiya city,NA
2011-08-30,Motomiya city,NA
2011-08-31,Motomiya city,12
2011-08-31,Motomiya city,NA
2011-09-01,Motomiya city,NA
2011-09-02,Motomiya city,NA
2011-09-05,Motomiya city,NA
2011-09-07,Motomiya city,NA
2011-09-08,Motomiya city,10
2011-09-15,Motomiya city,40
2011-09-15,Motomiya city,15
2011-09-15,Motomiya city,15
2011-09-15,Motomiya city,NA
2011-09-29,Motomiya city,11
2011-09-29,Motomiya city,66
2011-09-29,Motomiya city,71
2011-09-29,Motomiya city,NA
2011-09-30,Motomiya city,42
2011-09-30,Motomiya city,NA
2011-10-01,Motomiya city,8.4
2011-10-01,Motomiya city,10
2011-10-01,Motomiya city,19
2011-10-01,Motomiya city,NA
2011-09-01,Date county Kori town,NA
2011-09-10,Date county Kori town,10
2011-09-17,Date county Kori town,10
2011-09-17,Date county Kori town,NA
2011-09-28,Date county Kori town,22
2011-09-28,Date county Kori town,48
2011-09-28,Date county Kori town,NA
2011-10-04,Date county Kori town,52
2011-10-04,Date county Kori town,NA
2011-10-05,Date county Kori town,13
2011-10-05,Date county Kori town,28
2011-10-05,Date county Kori town,28
2011-10-05,Date county Kori town,NA
2011-08-30,Date county Kunimi town,NA
2011-09-10,Date county Kunimi town,91
2011-09-10,Date county Kunimi town,27
2011-09-10,Date county Kunimi town,8
2011-09-17,Date county Kunimi town,57
2011-09-24,Date county Kunimi town,15
2011-09-30,Date county Kunimi town,48
2011-09-30,Date county Kunimi town,7.7
2011-09-30,Date county Kunimi town,31
2011-09-30,Date county Kunimi town,26
2011-09-30,Date county Kunimi town,23
2011-09-30,Date county Kunimi town,NA
2011-10-03,Date county Kunimi town,84
2011-10-03,Date county Kunimi town,99
2011-10-03,Date county Kunimi town,41
2011-10-03,Date county Kunimi town,13
2011-09-16,Date county Kawamata town,21
2011-09-16,Date county Kawamata town,13
2011-09-16,Date county Kawamata town,62
2011-09-16,Date county Kawamata town,27
2011-09-16,Date county Kawamata town,NA
2011-09-29,Date county Kawamata town,NA
2011-10-08,Date county Kawamata town,8.8
2011-10-08,Date county Kawamata town,10
2011-10-08,Date county Kawamata town,48
2011-10-08,Date county Kawamata town,NA
2011-09-01,Adachi county Otama village,NA
2011-09-07,Adachi county Otama village,NA
2011-09-15,Adachi county Otama village,9.3
2011-09-15,Adachi county Otama village,12
2011-09-15,Adachi county Otama village,NA
2011-09-24,Adachi county Otama village,NA
2011-10-01,Adachi county Otama village,NA
2011-09-16,Iwase county Kagamiishi town,NA
2011-10-07,Iwase county Kagamiishi town,NA
2011-09-17,Iwase county Tenei village,NA
2011-09-29,Iwase county Tenei village,NA
2011-09-30,Iwase county Tenei village,NA
2011-10-01,Iwase county Tenei village,NA
2011-09-13,Minamiaizu county Shimogo town,NA
2011-09-15,Minamiaizu county Shimogo town,NA
2011-09-30,Minamiaizu county Shimogo town,NA
2011-09-13,Minamiaizu county Tadami town,NA
2011-09-15,Minamiaizu county Tadami town,NA
2011-09-30,Minamiaizu county Tadami town,NA
2011-09-09,Minamiaizu county Minamiaizu town,NA
2011-09-13,Minamiaizu county Minamiaizu town,NA
2011-09-15,Minamiaizu county Minamiaizu town,NA
2011-09-30,Minamiaizu county Minamiaizu town,NA
2011-09-09,Yama county Kitashiobara village,NA
2011-09-22,Yama county Kitashiobara village,NA
2011-09-02,Yama county Nishiaizu town,NA
2011-09-09,Yama county Nishiaizu town,NA
2011-09-17,Yama county Nishiaizu town,NA
2011-09-23,Yama county Nishiaizu town,32
2011-09-23,Yama county Nishiaizu town,NA
2011-09-14,Yama county Bandai town,NA
2011-09-28,Yama county Bandai town,NA
2011-09-09,Yama county Inawashiro town,NA
2011-09-14,Yama county Inawashiro town,NA
2011-09-22,Yama county Inawashiro town,NA
2011-08-25,Kawanuma county Aizubange town,NA
2011-08-29,Kawanuma county Aizubange town,NA
2011-08-30,Kawanuma county Aizubange town,NA
2011-08-31,Kawanuma county Aizubange town,NA
2011-09-01,Kawanuma county Aizubange town,NA
2011-09-02,Kawanuma county Aizubange town,NA
2011-09-10,Kawanuma county Aizubange town,NA
2011-09-17,Kawanuma county Aizubange town,NA
2011-09-14,Kawanuma county Yugawa village,NA
2011-09-21,Kawanuma county Yugawa village,NA
2011-08-29,Kawanuma county Yanaizu town,NA
2011-08-30,Kawanuma county Yanaizu town,NA
2011-09-01,Kawanuma county Yanaizu town,NA
2011-09-17,Kawanuma county Yanaizu town,16
2011-09-17,Kawanuma county Yanaizu town,NA
2011-09-23,Kawanuma county Yanaizu town,NA
2011-08-29,Onuma county Mishima town,NA
2011-08-30,Onuma county Mishima town,NA
2011-09-01,Onuma county Mishima town,NA
2011-09-14,Onuma county Mishima town,21
2011-09-14,Onuma county Mishima town,NA
2011-09-26,Onuma county Mishima town,NA
2011-09-28,Onuma county Mishima town,NA
2011-09-07,Onuma county Kaneyama town,NA
2011-09-19,Onuma county Kaneyama town,11
2011-09-19,Onuma county Kaneyama town,NA
2011-09-26,Onuma county Kaneyama town,NA
2011-09-27,Onuma county Kaneyama town,NA
2011-10-01,Onuma county Kaneyama town,NA
2011-09-07,Onuma county Showa village,NA
2011-09-17,Onuma county Showa village,NA
2011-09-30,Onuma county Showa village,NA
2011-09-14,Onuma county Aizumisato town,NA
2011-09-17,Onuma county Aizumisato town,NA
2011-09-22,Onuma county Aizumisato town,NA
2011-09-10,Nishishirakawa county Nishigo village,11
2011-09-10,Nishishirakawa county Nishigo village,35
2011-09-10,Nishishirakawa county Nishigo village,10
2011-09-10,Nishishirakawa county Nishigo village,NA
2011-09-29,Nishishirakawa county Nishigo village,12
2011-09-29,Nishishirakawa county Nishigo village,13
2011-09-29,Nishishirakawa county Nishigo village,10
2011-09-29,Nishishirakawa county Nishigo village,13
2011-09-29,Nishishirakawa county Nishigo village,26
2011-09-29,Nishishirakawa county Nishigo village,30
2011-09-29,Nishishirakawa county Nishigo village,11
2011-09-29,Nishishirakawa county Nishigo village,NA
2011-09-10,Nishishirakawa county Izumizaki village,11
2011-09-10,Nishishirakawa county Izumizaki village,7.7
2011-09-10,Nishishirakawa county Izumizaki village,NA
2011-09-23,Nishishirakawa county Izumizaki village,NA
2011-09-10,Nishishirakawa county Nakajima village,NA
2011-09-23,Nishishirakawa county Nakajima village,NA
2011-09-10,Nishishirakawa county Yabuki town,NA
2011-09-30,Nishishirakawa county Yabuki town,24
2011-09-30,Nishishirakawa county Yabuki town,NA
2011-09-09,Higashishirakawa county Tanagura town,98
2011-09-09,Higashishirakawa county Tanagura town,NA
2011-09-22,Higashishirakawa county Tanagura town,12
2011-09-22,Higashishirakawa county Tanagura town,8.6
2011-09-22,Higashishirakawa county Tanagura town,NA
2011-09-09,Higashishirakawa county Yamatsuri town,NA
2011-09-17,Higashishirakawa county Yamatsuri town,NA
2011-09-09,Higashishirakawa county Hanawa town,14
2011-09-09,Higashishirakawa county Hanawa town,NA
2011-09-22,Higashishirakawa county Hanawa town,NA
2011-09-10,Higashishirakawa county Samegawa village,NA
2011-09-26,Higashishirakawa county Samegawa village,NA
2011-09-16,Ishikawa county Ishikawa town,12
2011-09-16,Ishikawa county Ishikawa town,NA
2011-10-05,Ishikawa county Ishikawa town,NA
2011-09-15,Ishikawa county Tamakawa village,13
2011-09-15,Ishikawa county Tamakawa village,56
2011-09-15,Ishikawa county Tamakawa village,NA
2011-09-30,Ishikawa county Tamakawa village,NA
2011-09-02,Ishikawa county Hirata village,NA
2011-09-08,Ishikawa county Hirata village,NA
2011-09-16,Ishikawa county Hirata village,NA
2011-10-06,Ishikawa county Hirata village,NA
2011-09-15,Ishikawa county Asakawa town,83
2011-09-15,Ishikawa county Asakawa town,20
2011-09-15,Ishikawa county Asakawa town,26
2011-09-15,Ishikawa county Asakawa town,80
2011-09-15,Ishikawa county Asakawa town,NA
2011-09-29,Ishikawa county Asakawa town,NA
2011-10-03,Ishikawa county Asakawa town,NA
2011-10-04,Ishikawa county Asakawa town,NA
2011-09-17,Ishikawa county Furudono town,NA
2011-09-30,Ishikawa county Furudono town,NA
2011-10-03,Ishikawa county Furudono town,8.7
2011-10-03,Ishikawa county Furudono town,NA
2011-09-17,Tamura county Miharu town,15
2011-09-23,Tamura county Miharu town,10
2011-09-23,Tamura county Miharu town,NA
2011-09-30,Tamura county Miharu town,NA
2011-10-03,Tamura county Miharu town,NA
2011-10-04,Tamura county Miharu town,NA
2011-10-05,Tamura county Miharu town,NA
2011-10-07,Tamura county Miharu town,9.3
2011-10-07,Tamura county Miharu town,NA
2011-10-08,Tamura county Miharu town,NA
2011-10-12,Tamura county Miharu town,NA
2011-09-07,Tamura county Ono town,NA
2011-09-17,Tamura county Ono town,NA
2011-09-30,Tamura county Ono town,57
2011-09-30,Tamura county Ono town,NA
2011-10-03,Tamura county Ono town,NA
2011-10-06,Tamura county Ono town,NA
2011-10-07,Tamura county Ono town,NA
2011-09-10,Soma county Shinchi town,8.1
2011-09-10,Soma county Shinchi town,16
2011-09-10,Soma county Shinchi town,NA
2011-09-28,Soma county Shinchi town,10
2011-09-28,Soma county Shinchi town,11
2011-09-28,Soma county Shinchi town,NA
